Restaurants Name,price,category,address,website,rating,total ratings,day,1 AM,1 AM status,2 AM,2 AM status,3 AM,3 AM status,4 AM,4 AM status,5 AM,5 AM status,6 AM,6 AM status,7 AM,7 AM status,8 AM,8 AM status,9 AM,9 AM status,10 AM,10 AM status,11 AM,11 AM status,12 PM,12 PM status,1 PM,1 PM status,2 PM,2 PM status,3 PM,3 PM status,4 PM,4 PM status,5 PM,5 PM status,6 PM,6 PM status,7 PM,7 PM status,8 PM,8 PM stauts,9 PM,9 PM status,10 PM,10 PM status,11 PM,11 PM status,12 AM,12 AM status
Outback Steakhouse,$$,Steak house,"1761 N Victory Pl, Burbank, CA 91502",http://www.outback.com/locations/ca/burbank,4.2,819,Monday,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,Usually not busy,10,Usually not busy,14,Usually not busy,15,Usually not too busy,14,Usually not busy,14,Usually not busy,21,Usually not too busy,32,Usually not too busy,38,Usually a little busy,34,Usually not too busy,21,Usually not too busy,N/A,N/A,N/A,N/A,N/A,N/A
Outback Steakhouse,$$,Steak house,"1761 N Victory Pl, Burbank, CA 91502",http://www.outback.com/locations/ca/burbank,4.2,819,Tuesday,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,Usually not busy,12,Usually not busy,19,Usually not too busy,14,Usually not busy,8,Usually not busy,11,Usually not busy,22,Usually not too busy,33,Usually not too busy,36,Usually not too busy,29,Usually not too busy,16,Usually not too busy,N/A,N/A,N/A,N/A,N/A,N/A
Outback Steakhouse,$$,Steak house,"1761 N Victory Pl, Burbank, CA 91502",http://www.outback.com/locations/ca/burbank,4.2,819,Wednesday,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,Usually not busy,14,Usually not busy,17,Usually not too busy,14,Usually not busy,10,Usually not busy,11,Usually not busy,21,Usually not too busy,38,Usually a little busy,48,Usually a little busy,43,Usually a little busy,26,Usually not too busy,N/A,N/A,N/A,N/A,N/A,N/A
Outback Steakhouse,$$,Steak house,"1761 N Victory Pl, Burbank, CA 91502",http://www.outback.com/locations/ca/burbank,4.2,819,Thursday,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,Usually not busy,10,Usually not busy,14,Usually not busy,14,Usually not busy,11,Usually not busy,14,Usually not busy,25,Usually not too busy,38,Usually a little busy,45,Usually a little busy,39,Usually a little busy,25,Usually not too busy,N/A,N/A,N/A,N/A,N/A,N/A
Outback Steakhouse,$$,Steak house,"1761 N Victory Pl, Burbank, CA 91502",http://www.outback.com/locations/ca/burbank,4.2,819,Friday,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,Usually not busy,9,Usually not busy,13,Usually not busy,14,Usually not busy,14,Usually not busy,17,Usually not too busy,29,Usually not too busy,50,Usually a little busy,68,Usually as busy as it gets,72,Usually as busy as it gets,59,Usually not too busy,37,Usually not too busy,N/A,N/A,N/A,N/A
Outback Steakhouse,$$,Steak house,"1761 N Victory Pl, Burbank, CA 91502",http://www.outback.com/locations/ca/burbank,4.2,819,Saturday,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,Usually not busy,10,Usually not busy,21,Usually not too busy,31,Usually not too busy,39,Usually a little busy,42,Usually a little busy,51,Usually a little busy,64,Usually as busy as it gets,75,Usually as busy as it gets,70,Usually as busy as it gets,51,Usually not too busy,29,Usually not too busy,N/A,N/A,N/A,N/A
Outback Steakhouse,$$,Steak house,"1761 N Victory Pl, Burbank, CA 91502",http://www.outback.com/locations/ca/burbank,4.2,819,Sunday,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,Usually not busy,20,Usually not too busy,35,Usually not too busy,41,Usually a little busy,39,Usually a little busy,47,Usually a little busy,65,Usually as busy as it gets,74,Usually as busy as it gets,69,Usually as busy as it gets,56,Usually not too busy,35,Usually not too busy,N/A,N/A,N/A,N/A,N/A,N/A
Bacchus' Kitchen,$$,Restaurant,"1384 E Washington Blvd, Pasadena, CA 91104",https://www.restaurantpasadenaca.com/,4.6,78,Monday,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12,Usually not busy,27,Usually not too busy,41,Usually a little busy,38,Usually a little busy,21,Usually not too busy,N/A,N/A,N/A,N/A,N/A,N/A
Bacchus' Kitchen,$$,Restaurant,"1384 E Washington Blvd, Pasadena, CA 91104",https://www.restaurantpasadenaca.com/,4.6,78,Tuesday,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,Usually not too busy,32,Usually not too busy,39,Usually a little busy,34,Usually not too busy,20,Usually not too busy,N/A,N/A,N/A,N/A,N/A,N/A
Bacchus' Kitchen,$$,Restaurant,"1384 E Washington Blvd, Pasadena, CA 91104",https://www.restaurantpasadenaca.com/,4.6,78,Wednesday,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26,Usually not too busy,49,Usually a little busy,63,Usually as busy as it gets,56,Usually a little busy,32,Usually not too busy,N/A,N/A,N/A,N/A,N/A,N/A
