date,text,rating
2019,"My girlfriend decided to take me out to Kiraku for dinner and I was not disappointed. Although the portion sizes weren't the biggest, I felt satisfied with everything we ordered as it really displayed the use of high quality ingredients (freshness + taste) while maintaining a good presentation (plating) of the restaurant's food. Anyone who has been to Japan would probably agree that Kiraku's food is very reminiscent of the food in Japan. Maybe not entirely the same in terms of keeping the food menu traditional, but still close in a sense that you're able to eat such fresh tasting raw fish at their establishment (something most Japanese restaurants have trouble with considering the fact that the availability of fresh fish in the US is harder to come by compared to Japan).

Useful Tip (Must): For people interested in eating at Kiraku, I suggest you come in early and sign you + your party on their waitlist. The restaurant doesn't open until 5:30pm but while the restaurant employees set up they leave an iPad outside of their restaurant for people to sign up for their waitlist. My girlfriend and I got there as early as 4:40pm and we were able to get the first spot on the waitlist. By checking in on their waitlist, it allows you to receive text updates regarding your place in line. As soon as we came back (around 5:10pm) the expected wait time was 91 minutes. So try your best to come earlier than the early people ^^

The establish is really small and they cannot accommodate too many at once. It's recommended that bigger parties reserve a table by calling in a couple of days in advanced or expect to wait a long time. Another reason why the wait is so long is because everything you order does not come to your table all at once because they like to serve their food to customers plate by plate.

No complaints on service, every employee was friendly and informative about their food menu.

Personal Favorites:
Black Pork Belly Skewer w/ Homemade Miso
Tender Beef Tongue Skewer
Wagyu Uni Nigiri
Yuba Spoon

These are all my personal favorites at Kiraku! I don't want to go in too much detail of each dish's flavor because that would only spoil and ruin the experience for everyone. Instead, come out and check it out for yourselves (:

Would I eat here again?
I feel like Kiraku is more of a place you go to only on very special occasion and to me it's more like a place you go to for that one time experience. I admit the food is good but the prices are really high for the portions you receive. It's not a practical place to go to if you're trying to get super full. However, it's a restaurant that everyone should experience.",5.0
2019,"Small hole in the wall izakaya with trendy reggae music playing.

Came here for my birthday! Rave reviews on yelp brought us here. They do sing to you while you eat dessert- but you do have to pay for it, not complimentary.

For the 3 of us we made a reservation and were seated immediately

Excellent quick service--

1 solid star off- too salty for the skewer meat
The albacore ceviche was great but again lime was a tad too much One star off the grilled meat was a tad too salty for our tastes buds.

Good dishes :
Beef tataki
Grilled squid (must order if you like squid)
Chazuke

Servers were so attentive at refilling our tea and water.. much needed given the saltiness of the food.",4.0
2019,"Found this spot on yelp and wanted to try! There was a little wait so we added ourselves on the Yelp waitlist. The service is excellent. Our waitress handed us a warm towel to wipe our hands. The menu is pretty limited so it took my friend and I a little while to ordered. We ordered the Waygu beef tataki, sake sashimi, and chefs special.

The beef tataki was delicious but very thinly sliced. It was good enough for you to taste the texture of it.

Salmon sashimi is fresh, but the amount is a little a skimpy for the cost.

Chef's special was catfish with their home made sauce or some. We ordered some rice to fill us up a little bit.

Great food, great service but need to be more generous with the portion. Street parking can be a little rough. Make sure to check in on Yelp before coming by!",3.0
2019,"I should've known better that Yelp Waitlist is available at many restaurants nowadays and that I should always check before I leave the house. I waited 1.5 hours for a table for 2 on Sunday night, crossing my fingers that I'd be seated before they close at 9. Good thing for me, luck was on my side that day and I was seated with an hour to spare before they closed. Make sure you check-in once you get the text because at one point, I got booted off the waitlist and had to be re-added.

I've heard many great things about this place and I was excited to take my mom to a new restaurant in Berkeley. Fortunately for us, when we started waiting neither of us were hungry. But, by the time we got seated, we were friggin' starving so we obviously ordered way too much food for two people, but hey, BALL OUT.

Kiraku is famous for their high quality tapas or small dishes and they're great for sharing. The price point for items is anywhere between $3-18, more if you're ordering premium daily specials like their sashimi plate. It adds up rather quickly if you're not careful.  

SASHIMI SPECIAL
Comes with 3, 5, or 7 types of fish, one piece each starting at $11.
Super fresh, thick and sweet cuts of fish

SUZUKI CARPACCIO
One of my favorite items of the night, thinly sliced fish with japanese soy sauce, yuzu and sesame oil.

YUZU CHICKEN UDON
Honestly ordered this because I thought we weren't going to be full, but it's pretty basic. Soup is citrus-y and very refreshing. Chicken wasn't anything special.

MINI KAISEN DONBURI
I love all things salmon, ikura, snow crab and uni. It's a cute little Donburi bowl with the best ingredients.

TENDER BEEF TONGUE SKEWER
I love yakitori and one of my favorite pieces has to be beef tongue. Then of course pork belly, cartilage and other fixin's like heart and gizzards. But only tried one this time. If I was more baller, I'd try the Beef Tongue with Truffle Oil. Maybe next time.

JUMBO SQUID
Best grilled squid I've had at a Japanese spot in the East Bay. Perfectly grilled, not chewy at all, flavors were great. Served with teriyaki sauce and a side of Japanese mayo.

SPICY TUNA TARTARE
Prepared Temaki style, so you assemble it yourself. It's served in a little bamboo tube so the presentation of this dish is on point ya'll. It comes with a side of mountain yam, seaweed and other greens. I've never had Mountain Yams before and by itself, it's definitely a little sticky like okra is, but paired with the tuna tartare, it added a very refreshing crunch like a radish. The tartare was a little salty on its own but definitely worked well with the yams and even more delicious if you had a little white rice to add to your seaweed wrap.

I'm pretty sure the servers are Japanese which makes this place even more legit and worth going to. I saw many Japanese customers finish their meal and hug and thank the owner for the friendly service. I love when small places like this are successful and it's obvious Kiraku is very popular amongst locals and even students. Looking forward to dining here again next time, but being smarter about it and checking Yelp waitlist before I arrive!",5.0
2019,"There is always a line. And for good reason.

The food here is amazing. Interesting, quality and well-executed. The menu looks different from any other Japanese restaurant you've been to. Always interesting and delicious - see the pics for what we tried this night.

Service is friendly and consistent. The space is small and compact so noise levels can be an issue, but the food really is worth it. GO. Enjoy.",5.0
2019,"I've heard only good things about this place, and I'm glad I finally tried it! I came here on a Thursday night around 7:15 with my boyfriend. We put our name on the yelp waitlist about 20 minutes before. Here's what we ordered:

Tuna cheek 5/5
Beef tongue skewer 5/5
Chicken karaage 4/5
Corn tempura 4/5
Tsunami sampler with seaweed, squid, octopus 2/5 - it was ok but probably wouldn't order again.

We ate 3 tacos before so we weren't that hungry, but the food was good! There's so much more I want to try. Definitely coming back!

Total for the 2 of us with 2 beers was around $80 after tip.",4.0
2019,"God I wish I went here before I graduated.

Heard so many good things about Kiraku, so finally gathered up a group of friends during our graduation week. Group of 8 came at 5pm to put our names on the waitlist, and we were seated right when they opened at 5:30!

For ease of ordering, we split the table by groups of 4 - my group ordered the corn tempura, jumbo squid, black pork belly, rice ball, chazuke, roasted duck, and finally finished with a dessert of blanc-manger.

Highlights of the night are the jumbo squid and roasted duck - so tender and melt in mouth bursting with flavor. All the other dishes were equally yummy; honestly I suspect any dish you order will be good.

Great service, a bit pricey (paid $40 per person) but definitely worth it. I definitely plan to come back again to try their other tapas.",5.0
2019,"Be prepared to splurge, because the menu has sooooo many good options. You will want to get everything... You have been warned.
Since it's Japanese tapas, you know that the portion is going to be small. For 3 people, order around 5-6 plates, depending on what the plates are. You can spend around $35-60 per person.

My all-time favorite are the grilled black cod, wagyu carpaccio and grilled tongue with truffle oil and sea salt. These three are a must-get. All three are super flavorful. The corn fritters with green tea salt is also great and crunchy. The roasted tea blanc-manger, which I still can't pronounce, is also a good dessert option. It's not super sweet, but it serves as a great palate cleanser.

If you make a reservation, they have a $40 minimum pp, but honestly, you wouldn't have a hard time hitting that. If you don't want to reserve, make sure you come early to put your name down or join the Yelp waitlist. Even if you join the Yelp waitlist at 5.30 (when it opens), you will get in at around 8.30. It's crazy!",5.0
2019,"I had an amazing dining experience at Kiraku! I am only deducting a star because they made us wait over 2 hours even after we had signed up on the waitlist and showed up when the message told us to check in with the host (we still waited an hour after that).

The restaurant itself is super small and kind of like an izakaya, so it was no wonder that the wait was so long. Their food is served on small plates, so do not walk in expecting to have one large dish that will fill you up. The menu has skewers, fried food, and other small plates that complement sake. We ordered a variety of dishes but my favorites were the pork belly skewers, the beef skewer, and the donburi. The pork belly is cut thickly, served with a miso paste and it reminded me of an elevated version of kbbq pork belly. Very tender and flavorful. The beef skewer was even more tender and deliciously seasoned, I would definitely recommend this one to anyone. The donburi is adorable and comes with the tiniest spoon. It is beautiful to look at and the ingredients served are fresh.

The other items we tried were the fried garlic (which also came with a miso paste), fried cartilage, onigiri, and sweet potato brulee. The garlic was not as garlicky as I hoped, so it was just fried batter. The fried cartilage had an interesting texture and was pretty good. The onigiri was probably my least favorite plate out of everything we ordered since I liked the donburi rice better. I think the onigiri could have been grilled a little longer for a more golden crust and texture. The sweet potato brulee was delicious and you can definitely feel the starchy texture and flavor. It is unique and a great end to a fantastic meal.

We ordered some sake and I loved that the employees helped us choose. They had sold out on some that we were interested in trying, but they let us sample a few to choose from the ones they had. I also loved that they let us pick our sake cups! There were so many different little cups to pick from (some cups were larger than others). The cups looked handmade and all had their own designs and quirks. Service was great and the food was a culinary adventure. I would love to come back and try the other items of their menu!",4.0
2019,"Sorry to be the naysayer here, but we dine all over the Bay Area and Kiraku disappointed us. Quality is excellent but portions stingy and concept/execution wasn't remarkable. Service however is excellent!

There were dishes that we liked - the salmon sashimi was excellent, the corn tempura precisely what it should be. The black cod was very fine but grossly overpriced for the incredibly skimpy size. The pork belly skewer was tasty, if rich (2/3 fat to 1/3 lean).

But the octopus dishes, both cooked and raw were simply unpleasant. The eggplant was an oily mess. The duck w/tare and sirloin yakitori were blandly generic, while the tongue showed the weaknesses of Japanese cuisine in seasoning and technique. The simmered (braised) pork was good, but a modest competitor 15 min away does the same dish better and cheaper.

The roasted tea blanc-manger was pleasing, but not remarkable enough to be destination-worthy. Also, texture was more like agar-agar than cornstarch (this is a dessert essentially unchanged from Medieval Europe days).

Although we tried 13 dishes, we didn't find enough to be worth a return, nor to justify ever standing in line - which we didn't. If you make a reservation with a $40/pp minimum - easy to do here, with tiny portions and high prices - you can simply walk in past the crowd.",2.0
